image_id,filename,label
1,1.jpg,2
2,2.jpg,4
3,3.jpg,2
4,4.jpg,3
5,5.jpg,5
6,6.jpg,2
7,7.jpg,5
8,8.jpg,5
9,9.jpg,5
10,10.jpg,5
11,11.jpg,2
12,12.jpg,6
13,13.jpg,6
14,14.jpg,4
15,15.jpg,6
16,16.jpg,4
17,17.jpg,2
18,18.jpg,6
19,19.jpg,5
20,20.jpg,4
21,21.jpg,6
22,22.jpg,2
23,23.jpg,4
24,24.jpg,3
25,25.jpg,4
26,26.jpg,6
27,27.jpg,3
28,28.jpg,2
29,29.jpg,6
30,30.jpg,6
31,31.jpg,2
32,32.jpg,2
33,33.jpg,2
34,34.jpg,2
35,35.jpg,5
36,36.jpg,3
37,37.jpg,1
38,38.jpg,5
39,39.jpg,2
40,40.jpg,2
41,41.jpg,6
42,42.jpg,2
43,43.jpg,2
44,44.jpg,4
45,45.jpg,4
46,46.jpg,2
47,47.jpg,3
48,48.jpg,2
49,49.jpg,5
50,50.jpg,5
51,51.jpg,3
52,52.jpg,4
53,53.jpg,6
54,54.jpg,2
55,55.jpg,5
56,56.jpg,4
57,57.jpg,4
58,58.jpg,2
59,59.jpg,5
60,60.jpg,6
61,61.jpg,2
62,62.jpg,6
63,63.jpg,2
64,64.jpg,4
65,65.jpg,4
66,66.jpg,5
67,67.jpg,2
68,68.jpg,5
69,69.jpg,2
70,70.jpg,5
71,71.jpg,2
72,72.jpg,4
73,73.jpg,5
74,74.jpg,2
75,75.jpg,4
76,76.jpg,4
77,77.jpg,2
78,78.jpg,4
79,79.jpg,2
80,80.jpg,6
81,81.jpg,2
82,82.jpg,5
83,83.jpg,2
84,84.jpg,3
85,85.jpg,2
86,86.jpg,2
87,87.jpg,2
88,88.jpg,2
89,89.jpg,4
90,90.jpg,4
91,91.jpg,5
92,92.jpg,6
93,93.jpg,2
94,94.jpg,5
95,95.jpg,2
96,96.jpg,4
97,97.jpg,4
98,98.jpg,2
99,99.jpg,5
100,100.jpg,6
